country,ISO Country code,population,id,surface area (Km2),Score,GINI index,happy planet index,human development index,world happiness report score,sustainable economic development assessment (SEDA),GDP (billions PPP),GDP per capita (PPP),GDP growth(annual %),health expenditure % of GDP,health expenditure per person,education expenditure % of GDP,education expenditure per person ,school life expectancy (YEARS),unemployment (%),government spending score,government expenditure (% of GDP),political rights score ,civil liberties score ,political stability & absence of violence,government effectiveness,regulatory quality,rule of law,control of corruption,judicial effectiveness score,government integrity score,property rights score,tax burden score,overall economic freedom score,financial freedom score,women MPs (% of all MPs)
Finland,FIN,"6,000,000",246,"303,815",0.8734084032335288,27.2,31.3,0.92,7.79,81.3,231.4,42165.0,0.4,9.4,3669.0,7.2,3570.0,19.0,9.0,2.3,57.1,1,1,1.07,1.9,1.8,2.03,2.22,82.7,89.8,89.0,66.5,74.1,80.0,42.0
France,FRA,"67,000,000",250,"549,970",0.7847002722646401,29.3,30.4,0.901,6.64,73.9,2733.7,42314.0,1.1,11.1,4542.0,5.5,2373.0,16.0,10.0,2.7,57.0,1,2,0.21,1.4,1.2,1.44,1.26,72.7,65.1,84.0,47.3,63.9,70.0,39.0
Gabon,GAB,"1,900,000",266,"257,667",0.4049881134357786,42.2,17.5,0.702,4.78,40.9,35.9,19057.0,4.0,2.7,481.0,,,,18.5,84.6,22.6,7,5,-0.09,-0.9,-0.8,-0.68,-0.81,27.8,33.4,29.9,74.3,58.0,40.0,17.1
"Gambia, The",GMB,"2,100,000",0,"10,120",0.2509808013355592,50.2,,0.46,,,3.4,1667.0,4.4,6.6,,,,9.0,29.7,74.0,29.4,4,5,,,,,,38.8,36.8,34.4,71.9,52.3,50.0,10.3
Georgia,GEO,"3,700,000",268,"69,700",0.5558399941669999,40.1,31.1,0.78,4.45,55.4,37.2,10044.0,2.8,7.9,718.0,,,15.0,11.6,73.3,29.8,3,3,-0.37,0.6,1.1,0.33,0.74,64.2,61.8,62.8,87.0,76.2,60.0,16.0
Germany,DEU,"83,000,000",276,"348,672",0.8373627813442803,27.0,29.8,0.936,7.07,79.6,3980.3,48111.0,1.5,11.2,5357.0,4.9,2369.0,17.0,4.3,41.3,44.2,1,1,0.58,1.7,1.8,1.61,1.84,78.0,75.3,81.0,61.3,74.2,70.0,37.0
Ghana,GHA,"29,000,000",288,"227,533",0.41747897125021644,42.3,21.4,0.592,5.48,40.2,121.7,4412.0,3.5,5.9,249.0,6.2,89.0,12.0,5.8,79.0,26.5,1,2,0.09,-0.1,-0.1,0.13,-0.23,43.7,32.9,48.9,83.5,56.0,60.0,12.7
Greece,GRC,"11,000,000",300,"130,647",0.6083030910793864,36.7,23.6,0.87,5.15,64.1,289.4,26669.0,-0.2,8.4,2204.0,,,18.0,23.9,20.9,51.3,2,2,-0.13,0.3,0.2,0.08,-0.14,59.0,37.9,52.3,60.4,57.3,40.0,18.3
Grenada,GRD,"108,000",308,344,0.6978297161936561,,,0.772,,,,,,5.0,677.0,,,17.0,,,,1,2,1.03,-0.2,-0.1,0.44,0.48,,,,,,,33.3
Guatemala,GTM,"17,000,000",320,"107,159",0.5033811647015756,53.0,34.2,0.65,6.33,42.5,131.7,7899.0,4.0,5.7,444.0,2.9,108.0,11.0,2.4,95.3,12.5,4,4,-0.57,-0.6,-0.3,-1.06,-0.74,33.1,27.3,40.4,79.2,63.4,50.0,12.7
